        rmsthk      stdthk       rmsvel       stdvel       rmsdiv       stddiv       rmsusurf       stdusurf
-50.1483688354 46.8274307251 -77.2442779541 100.3320159912 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-50.4208106995 46.7714347839 -79.3482437134 101.0363006592 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-50.6945686340 46.4119453430 -79.3644485474 101.0712509155 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-50.9946327209 46.3942337036 -79.3887634277 101.1104736328 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-51.2458534241 46.1756172180 -79.4049758911 101.1512069702 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-51.5487174988 46.0797996521 -79.4219436646 101.1805648804 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-51.7261848450 45.9412117004 -79.4386520386 101.2182159424 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-52.0317840576 45.6790885925 -79.4655532837 101.2581176758 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-52.1852531433 45.4998588562 -79.4793853760 101.2939453125 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-52.4421539307 45.3201713562 -79.5009994507 101.3296356201 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-52.7517585754 45.0187530518 -79.5164260864 101.3636398315 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-52.9072189331 44.8420295715 -81.2808456421 101.9241943359 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-53.1153602600 44.7339820862 -81.2957839966 101.9590682983 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-53.1937294006 44.6521263123 -81.3183288574 101.9887466431 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-53.4297943115 44.4693336487 -81.3349838257 102.0165328979 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-53.6404762268 44.3698730469 -81.3569717407 102.0485763550 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-53.8519821167 44.2512664795 -81.3680572510 102.0694274902 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-53.9846878052 44.1023712158 -81.3840866089 102.0870361328 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-54.2777595520 44.0174484253 -81.3954620361 102.1100463867 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-54.5451965332 43.7117843628 -81.4084701538 102.1259613037 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-54.7867927551 43.7152595520 -81.4143829346 102.1445617676 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-55.0562133789 43.5242996216 -82.8822784424 102.5949935913 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-55.1102867126 43.5172233582 -82.8827590942 102.6003189087 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-55.2188377380 43.3941192627 -82.8935928345 102.6086196899 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-55.2733078003 43.3622779846 -82.8914718628 102.6097412109 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-55.5739059448 43.1363716125 -82.9021530151 102.6136779785 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-55.6013298035 43.0808067322 -82.9014663696 102.6152343750 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-55.7664222717 43.0588569641 -82.9081573486 102.6180419922 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-55.9320678711 42.8937873840 -82.9073791504 102.6187591553 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-56.0428619385 42.8505096436 -82.9133605957 102.6222381592 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-56.1540222168 42.6692466736 -82.9160461426 102.6244964600 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-56.2934150696 42.6280860901 -84.1320953369 102.9902191162 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-56.2934188843 42.5331306458 -84.1349716187 102.9908676147 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-56.3775863647 42.6252937317 -84.1366806030 102.9897155762 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-56.3775863647 42.5582923889 -84.1405258179 102.9972839355 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-56.4058189392 42.6179809570 -84.1463012695 103.0033569336 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-56.4058189392 42.5406990051 -84.1485061646 103.0075225830 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-56.4626197815 42.5637245178 -84.1564025879 103.0158081055 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-56.4626197815 42.5275039673 -84.1587066650 103.0235977173 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-56.6054573059 42.6573867798 -84.1641540527 103.0272903442 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-56.5768051147 42.6043205261 -84.1675262451 103.0361633301 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-56.6917381287 42.7040176392 -85.1557312012 103.3328628540 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-56.7205543518 42.5864219666 -85.1566085815 103.3397216797 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-56.7494430542 42.7320709229 -85.1617507935 103.3465499878 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-56.9232788086 42.6707992554 -85.1634292603 103.3536148071 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-56.9232826233 42.6513404846 -85.1664962769 103.3602447510 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-57.0398063660 42.6251029968 -85.1692428589 103.3688354492 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-57.0398063660 42.6019783020 -85.1716690063 103.3689193726 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-57.0983772278 42.5330467224 -85.1712493896 103.3756332397 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-57.1277351379 42.4799613953 -85.1730422974 103.3784103394 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-57.1571731567 42.4495086670 -85.1742324829 103.3886413574 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-57.1866798401 42.4188995361 -85.9557037354 103.6183090210 0.0000000000 0.0000000000 0.0000000000 0.0000000000
