     velsurf   thk_positive       thk_regu           glen
9116090.0000         0.0000   9999999.0000        -0.0462
9096682.0000         0.0000   9999999.0000        -0.0462
9096670.0000         0.0000   9999999.0000        -0.0462
9098247.0000         0.0000   9999999.0000        -0.0462
9097807.0000         0.0000   9999999.0000        -0.0462
9098332.0000         0.0000   9999999.0000        -0.0462
9098240.0000         0.0000   9999999.0000        -0.0462
9099092.0000         0.0000   9999999.0000        -0.0462
9098573.0000         0.0000   9999999.0000        -0.0462
9099396.0000         0.0000   9999999.0000        -0.0462
9098582.0000         0.0000   9999999.0000        -0.0492
9081685.0000         0.0000   9999999.0000        -0.0492
9081436.0000         0.0000   9999999.0000        -0.0492
9082401.0000         0.0000   9999999.0000        -0.0492
9082043.0000         0.0000   9999999.0000        -0.0492
9082379.0000         0.0000   9999999.0000        -0.0492
9081959.0000         0.0000   9999999.0000        -0.0492
9082612.0000         0.0000   9999999.0000        -0.0492
9081938.0000         0.0000   9999999.0000        -0.0492
9082119.0000         0.0000   9999999.0000        -0.0492
9081117.0000         0.0000   9999999.0000        -0.0510
9065762.0000         0.0000   9999999.0000        -0.0510
9065594.0000         0.0000   9999999.0000        -0.0510
9065695.0000         0.0000   9999999.0000        -0.0510
9065749.0000         0.0000   9999999.0000        -0.0510
9065633.0000         0.0000   9999999.0000        -0.0510
9066011.0000         0.0000   9999999.0000        -0.0510
9066069.0000         0.0000   9999999.0000        -0.0510
9066560.0000         0.0000   9999999.0000        -0.0510
9066750.0000         0.0000   9999999.0000        -0.0510
9067030.0000         0.0000   9999999.0000        -0.0518
9053981.0000         0.0000   9999999.0000        -0.0518
9054628.0000         0.0000   9999999.0000        -0.0518
9055460.0000         0.0000   9999999.0000        -0.0518
9055678.0000         0.0000   9999999.0000        -0.0518
9056254.0000         0.0000   9999999.0000        -0.0518
9056109.0000         0.0000   9999999.0000        -0.0518
9056399.0000         0.0000   9999999.0000        -0.0518
9056792.0000         0.0000   9999999.0000        -0.0518
9057333.0000         0.0000   9999999.0000        -0.0518
9057428.0000         0.0000   9999999.0000        -0.0524
9045776.0000         0.0000   9999999.0000        -0.0524
9045919.0000         0.0000   9999999.0000        -0.0524
9046411.0000         0.0000   9999999.0000        -0.0524
9046675.0000         0.0000   9999999.0000        -0.0524
9047173.0000         0.0000   9999999.0000        -0.0524
9047389.0000         0.0000   9999999.0000        -0.0524
9047691.0000         0.0000   9999999.0000        -0.0524
9047852.0000         0.0000   9999999.0000        -0.0524
9047782.0000         0.0000   9999999.0000        -0.0524
9047975.0000         0.0000   9999999.0000        -0.0530
9037472.0000         0.0000   9999999.0000        -0.0530
9037720.0000         0.0000   9999999.0000        -0.0530
9037826.0000         0.0000   9999999.0000        -0.0530
9037918.0000         0.0000   9999999.0000        -0.0530
9037928.0000         0.0000   9999999.0000        -0.0530
9037981.0000         0.0000   9999999.0000        -0.0530
9038028.0000         0.0000   9999999.0000        -0.0530
9038204.0000         0.0000   9999999.0000        -0.0530
9037966.0000         0.0000   9999999.0000        -0.0530
9038079.0000         0.0000   9999999.0000        -0.0538
9028667.0000         0.0000   9999999.0000        -0.0538
9028600.0000         0.0000   9999999.0000        -0.0538
9028849.0000         0.0000   9999999.0000        -0.0538
9028778.0000         0.0000   9999999.0000        -0.0538
9028834.0000         0.0000   9999999.0000        -0.0538
9028783.0000         0.0000   9999999.0000        -0.0538
9028544.0000         0.0000   9999999.0000        -0.0538
9028603.0000         0.0000   9999999.0000        -0.0538
9028420.0000         0.0000   9999999.0000        -0.0538
9028520.0000         0.0000   9999999.0000        -0.0548
9019031.0000         0.0000   9999999.0000        -0.0548
9019195.0000         0.0000   9999999.0000        -0.0548
9019299.0000         0.0000   9999999.0000        -0.0548
9019256.0000         0.0000   9999999.0000        -0.0548
9019244.0000         0.0000   9999999.0000        -0.0548
9019417.0000         0.0000   9999999.0000        -0.0548
9019171.0000         0.0000   9999999.0000        -0.0548
9019116.0000         0.0000   9999999.0000        -0.0548
9019103.0000         0.0000   9999999.0000        -0.0548
9019163.0000         0.0000   9999999.0000        -0.0560
